"Advertiser_ID";"Advertiser_Name";"Specific_Party";"Support_Type_uncleaned";"Support_Type";"Broad_Sector";"Spend_USD";"Public_IDs_List";"FEC_registered"
"AR510650583334518784";"DEVIN NUNES CAMPAIGN COMMITTEE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";110400;"FEC ID C00370056";"YES"
"AR159188942736850944";"HUNT FOR CONGRESS";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";110100;"FEC ID C00701003";"YES"
"AR80178586920681472";"SPALDING GROUP INC";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"merchandize";108200;"EIN ID 61-1269925";"NO"
"AR68706763632803840";"RESULTS FOR NC, INC.";"REPUBLICAN";"Political_Action_Commitees";"pac";"region";107900;"EIN ID 46-2832843";"YES"
"AR3043448185683968";"DEAN PHILLIPS FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";107700;"FEC ID C00640714";"YES"
"AR364664782382432256";"MARSY'S LAW FOR KENTUCKY, LLC";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"region";106900;"EIN ID 47-5659817";"NO"
"AR154043503196766208,AR56693499587723264 ";"JASON LEWIS FOR SENATE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";106800;"EIN ID 84-2732481,FEC ID C00716860";"YES"
"AR539388793627607040";"YOUNG KIM FOR CONGRESS";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";106400;"EIN ID 80-0940074,FEC ID C00665638";"YES"
"AR555325046441115648";"LIVE FREE PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";105900;"Registered in New Hampshire 05000149";"NO"
"AR461110987433443328";"COLIN ALLRED FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";105100;"FEC ID C00637868";"YES"
"AR47074490831601664";"SRI FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";105000;"FEC ID C00662874";"YES"
"AR121627632667197440";"AFSCME - PEOPLE";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";102700;"EIN ID 52-1456472";"YES"
"AR520054775006363648";"KENDRA HORN FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";101400;"FEC ID C00648915";"YES"
"AR193768445991452672";"DMFI PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";101000;"FEC ID C00710848";"YES"
"AR538739600730882048";"LAUREN BOEBERT FOR CONGRESS";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";101000;"FEC ID C00728238";"YES"
