"Page.Name";"disclaimer";"spend";"Number.of.Ads.in.Library";"Specific_Party_uncleaned";"Specific_Party";"Broad_Sector_uncleaned";"Broad_Sector";"Support_Type_uncleaned";"Support_Type";"FEC_registered";"CMT_ID";"CMTE_ST";"CMTE_DSGN";"CMTE_PTY_AFFILIATION";"ORG_TP";"CONNECTED_ORG_NM";"CAND_ID";"CMTE_TP"
"Montana Democratic Party";"MONTANA DEMOCRATIC PARTY";106038;205;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00010033";"MT";"U";"DEM";"";"TESTER VICTORY FUND";"";"Y"
"Amendment 2 Hurts You";"AMENDMENT 2 HURTS YOU";105999;318;"?";"NONPARTISAN";"?";"other";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Kentucky Department for Public Health";"KENTUCKY DEPARTMENT FOR PUBLIC HEALTH";105901;7;"?";"NONPARTISAN";"?";"other";"state";"government";"NO";"";"";"";"";"";"";"";""
"Insta Shop Boutique";"INSTA SHOP BOUTIQUE";105841;166;"NON-PARTISAN";"NONPARTISAN";"clothing";"other";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Oakland County Board of Commissioners";"OAKLAND COUNTY BOARD OF COMMISSIONERS";105588;114;"NON-PARTISAN";"NONPARTISAN";"healthcare";"Ideology/Single Issue";"state";"government";"NO";"";"";"";"";"";"";"";""
"Strategic Horizon";"STRATEGIC HORIZON";105312;103;"NON-PARTISAN";"NONPARTISAN";"education";"civil rights";"?";"other";"NO";"";"";"";"";"";"";"";""
"Miami Freedom Project";"MIAMI FREEDOM PROJECT";105086;333;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"?";"other";"YES";"C30003248";"FL";"U";"";"";"";"";"E"
"Keep Trump In Office";"KEEP TRUMP IN OFFICE";104918;7297;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Accountable.US";"ACCOUNTABLE.US";104880;77;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Hard Left Hegar";"TEXANS FOR A CONSERVATIVE MAJORITY";104769;18;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00542217";"TX";"U";"";"";"NONE";"";"V"
"In The Know Daily";"VERIZON MEDIA INC";104757;22;"NON-PARTISAN";"NONPARTISAN";"communicaations";"communications";"Political_Action_Commitees";"pac";"YES";"C00380535";"DC";"B";"";"C";"OATH INC.";"";"Q"
"Phenomenal Woman Action Campaign";"PHENOMENAL WOMAN ACTION CAMPAIGN";104711;665;"DEMOCRATIC";"DEMOCRATIC";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Elissa Slotkin for Congress";"ELISSA SLOTKIN FOR CONGRESS";104689;73;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00650150";"MI";"P";"DEM";"";"SLOTKIN VICTORY FUND";"H8MI08102";"H"
"Colorado Rising State Action";"COLORADO RISING STATE ACTION";104642;40;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00701060";"CO";"U";"";"";"NONE";"";"O"
"Phil Arballo for Congress";"ARBALLO FOR CONGRESS";103987;65;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00708479";"CA";"P";"DEM";"";"ARBALLO VICTORY FUND";"H0CA22102";"H"
"Raja for Congress";"FRIENDS OF RAJA FOR CONGRESS";103462;138;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00575092";"IL";"P";"DEM";"";"NONE";"H6IL08147";"H"
"Right to Life of Michigan";"RIGHT TO LIFE OF MICHIGAN";103248;33;"REPUBLICAN";"REPUBLICAN";"pro life";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00101212";"MI";"U";"";"M";"RIGHT TO LIFE OF MICHGAN";"";"Q"
"South Dakota Department of Health";"SOUTH DAKOTA DEPARTMENT OF HEALTH";103150;39;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"state";"government";"NO";"";"";"";"";"";"";"";""
"Lotrimin";"BAYER HEALTHCARE LLC";103049;16;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Colorado Secretary of State's Office";"THE OFFICE OF JENA GRISWOLD, COLORADO SECRETARY OF STATE";103041;183;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"NRA Institute for Legislative Action";"NATIONAL RIFLE ASSOCIATION OF AMERICA";102447;59;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"";"VA";"B";"UNK";"M";"NATIONAL RIFLE ASSOCIATION OF AMERICA";"";"Q"
"PA Department of State";"PENNSYLVANIA DEPARTMENT OF STATE";102439;47;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"A Better NC";"A BETTER NORTH CAROLINA";102145;104;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"Political_Action_Commitees";"pac";"YES";"C00702324";"NC";"U";"";"";"NONE";"";"O"
"Iowa Values Action PAC";"IOWA VALUES ACTION";102119;12;"REPUBLICAN";"REPUBLICAN";"region";"region";"Political_Action_Commitees";"pac";"YES";"C00751768";"IA";"U";"";"";"NONE";"";"O"
"HeadCount";"HEAD COUNT INC";101944;330;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Kathleen Williams";"KATHLEEN WILLIAMS FOR MONTANA";101681;630;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00701748";"MT";"P";"DEM";"";"KATHLEEN WILLIAMS VICTORY FUND";"H8MT01232";"H"
"When Democrats Turn Out";"WHEN DEMOCRATS TURN OUT PAC";101582;45;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00669960";"DC";"U";"";"";"NONE";"";"Q"
"United Research Group";"UNITED RESEARCH GROUP";101569;1345;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Planned Parenthood Southeast Advocates";"PLANNED PARENTHOOD SOUTHEAST ADVOCATES, INC";101385;60;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"United We Dream";"UNITED WE DREAM NETWORK INC";101069;134;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"GALvanize USA";"GALVANIZE USA";101037;476;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"501(c)(3)";"50x";"YES";"C00748244";"MD";"U";"";"";"NONE";"";"N"
"Committee to Protect Medicare";"COMMITTEE TO PROTECT MEDICARE PAC";100857;275;"DEMOCRATIC";"DEMOCRATIC";"law";"law";"Political_Action_Commitees";"pac";"YES";"C00736637";"IL";"U";"";"";"NONE";"";"O"
"Americans for Prosperity New Hampshire";"AMERICANS FOR PROSPERITY";100801;65;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00687103";"VA";"U";"";"";"";"";"O"
"Lower My Bills";"LMB OPCO, LLC";100690;141;"NON-PARTISAN";"NONPARTISAN";"banking";"Ideology/Single Issue";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Election Protection";"866 OUR VOTE";100476;70;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Candace Valenzuela";"CANDACE FOR 24";100396;76;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Political_Action_Commitees";"pac";"YES";"C00702225";"TX";"P";"DEM";"";"VALENZUELA VICTORY FUND";"H0TX24175";"H"
"John Cornyn";"THE REPUBLICAN PARTY OF TEXAS - VICTORY PROGRAM";100305;11;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00143743";"TX";"U";"REP";"";"";"S2TX00106";"Y"
"U.S. Department of Homeland Security Blue Campaign";"DHS BLUE CAMPAIGN";100262;158;"NON-PARTISAN";"NONPARTISAN";"single issue";"Ideology/Single Issue";"state";"government";"NO";"";"";"";"";"";"";"";""
"Ilhan Omar";"ILHAN FOR CONGRESS";100220;935;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Political_Action_Commitees";"pac";"YES";"C00680934";"MN";"P";"DFL";"";"THE EMPOWERMENT FUND";"H8MN05239";"H"
"Sesame Workshop";"SESAME WORKSHOP";100074;59;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Planned Parenthood Advocates of Ohio";"PLANNED PARENTHOOD VOTES OHIO";100051;44;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00663724";"OH";"U";"";"";"NONE";"";"O"
